Author,Title,Class Number,Class Name,Quarter,Year,Descriptors,Location,
"Avery, John A.",Observations on certain aspects of the feeding habits of four species of carnivorous marine gastropods,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,Buccinum; Neptunea; Fusitriton oregonensis,,
"Bennett, Diane C.",Observations on pedicellariae of several starfish of the family Asteridae found in the San Juan area,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,"Asterias forreri; Astrometis sertulifera
","San Juan Islands
",
"Campbell, Richard Dana","List of species collected, with notes on habits and ecology of fauna observed",Zoology 533,Advanced Invertebrate Zoology,Summer,1961,,Brown Island; Vancouver Island,
"Cook, Emily","A study of two sponge-feeding opisthobranch mollusks, Rostanga pulchra and Archidoris montereyensis",Zoology 533,Advanced Invertebrate Zoology,Summer,1961,Rostanga pulchra; Archidoris montereyensis,,
"McLaughlin, Patsy A.",The relationship of Odostomia columbiana to Trichotropis cancellata,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,"Odostomia columbiana; Trichotropis cancellata
",,
"Mauzey, Karl P.",Some observations on the ecology of Pisaster ochraceus,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,Pisaster ochraceus; Balanus cariosus; Evasterias troschelii,,
"Mir, Robert D.",Sand microfauna: a preliminary survey,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,,"Turn Island; Eagle Cove, San Juan Island; Reid Rock, San Juan Island",
"Pamatmat, Mario M.",A study of various aspects of feeding and related problems in Macoma secta and Neoamphitrite robusta,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,"Macoma secta; Neoamphitrite robusta
",,
"Park, Tai Soo",Tentative keys to the gammarid amphipods of the San Juan area,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,,San Juan Islands,
"Pianka, Eric R.",A study of certain aspects of the ecology of Eubranchus olivacea,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,Corambe pacifica; Eubranchus olivaceus,,
"Sevilla, Josefina Z.",On the food preferences of Strongylocentrotus droebachiensis,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,Strongylocentrotus droebachiensis; Nereocystis,,
"Smith, Christopher C.",An ecological study of a section of the shore of Brown Island,Zoology 533,Advanced Invertebrate Zoology,Summer,1961,,"Gravelly Beach; Brown Island
",
